Region,Country,Prefix,Rate/minute,Our price
South Asia,Afghanistan,93,0.33564,0.51
South Asia,Afghanistan (Mobile A) Roshan,9372,0.28529,0.43
South Asia,Afghanistan (Mobile A) Roshan,9379,0.28529,0.43
South Asia,Afghanistan (Mobile B),9375,0.29814,0.45
South Asia,Afghanistan (Mobile C) MTN,9376,0.28529,0.43
South Asia,Afghanistan (Mobile C) MTN,9377,0.28529,0.43,
South Asia,Afghanistan (Mobile D) Etisalat,9373,0.28529,0.43
South Asia,Afghanistan (Mobile D) Etisalat,9378,0.28529,0.43
South Asia,Afghanistan (Mobile E) AWCC,9370,0.28529,0.43
South Asia,Afghanistan (Mobile E) AWCC,9371,0.28529,0.43
South Asia,Afghanistan (Mobile F) Salaam,9374,0.28529,0.43
South East Europe,Albania,355,0.25332,0.38,,,,,,,
South East Europe,Albania (AMC),3552155,0.30555,0.46
South East Europe,Albania (AMC),3552185,0.30555,0.46
South East Europe,Albania (AMC),3552253,0.30555,0.46
South East Europe,Albania (AMC),3552254,0.30555,0.46
South East Europe,Albania (AMC),3552440,0.30555,0.46
South East Europe,Albania (AMC),3553270,0.30555,0.46
South East Europe,Albania (AMC),3553350,0.30555,0.46
South East Europe,Albania (AMC),3553351,0.30555,0.46
South East Europe,Albania (AMC),3553490,0.30555,0.46
South East Europe,Albania (AMC),3553491,0.30555,0.46
South East Europe,Albania (AMC),3553560,0.30555,0.46
South East Europe,Albania (AMC),3554630,0.30555,0.46
South East Europe,Albania (AMC),3554631,0.30555,0.46
South East Europe,Albania (AMC),3554632,0.30555,0.46
South East Europe,Albania (AMC),3554633,0.30555,0.46
South East Europe,Albania (AMC),3555114,0.30555,0.46
South East Europe,Albania (AMC),3555263,0.30555,0.46
South East Europe,Albania (AMC),3555264,0.30555,0.46
South East Europe,Albania (AMC),3555370,0.30555,0.46
South East Europe,Albania (AMC),3555490,0.30555,0.46
South East Europe,Albania (AMC),3555491,0.30555,0.46
South East Europe,Albania (AMC),3555540,0.30555,0.46
South East Europe,Albania (AMC),3558290,0.30555,0.46
South East Europe,Albania (AMC),3558291,0.30555,0.46
South East Europe,Albania (AMC),3558340,0.30555,0.46
South East Europe,Albania (AMC),3558460,0.30555,0.46
South East Europe,Albania (AMC),3558550,0.30555,0.46
South East Europe,Albania (AMC),35521160,0.30555,0.46
South East Europe,Albania (AMC),35521161,0.30555,0.46
South East Europe,Albania (AMC),35521250,0.30555,0.46
South East Europe,Albania (AMC),35521340,0.30555,0.46
South East Europe,Albania (AMC),35521440,0.30555,0.46
South East Europe,Albania (AMC),35521650,0.30555,0.46
South East Europe,Albania (AMC),35521651,0.30555,0.46
South East Europe,Albania (AMC),35521740,0.30555,0.46
South East Europe,Albania (AMC),35521741,0.30555,0.46
South East Europe,Albania (AMC),35521940,0.30555,0.46
South East Europe,Albania (AMC),35526160,0.30555,0.46
South East Europe,Albania (AMC),35526250,0.30555,0.46
South East Europe,Albania (AMC),35526293,0.30555,0.46
South East Europe,Albania (AMC),35526323,0.30555,0.46
South East Europe,Albania (AMC),35526350,0.30555,0.46
South East Europe,Albania (AMC),35526363,0.30555,0.46
South East Europe,Albania (AMC),35526373,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35526383,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35526450,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35526490,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35526523,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35526563,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35526650,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35526673,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35526723,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35526770,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35526840,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35526890,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35526950,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35526970,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35526990,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527023,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527043,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527053,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527070,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527140,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527190,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527223,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527253,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527270,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527280,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527323,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527350,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527370,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527390,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527440,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527470,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527490,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527523,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527550,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527570,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527590,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527623,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527660,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527693,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527723,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527760,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527790,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527840,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527860,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527880,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527923,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527950,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527970,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35527990,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528123,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528124,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528143,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528144,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528190,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528223,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528250,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528270,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528290,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528323,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528350,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528390,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528450,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528523,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528570,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528623,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528643,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528680,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528763,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528790,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528823,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528850,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528870,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528890,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528923,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528950,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528970,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35528990,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35529140,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35529190,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35529240,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35529280,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35529340,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35529370,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35529390,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35529423,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35529460,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35529490,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35529523,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35529550,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35529570,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35529590,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35529623,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35529650,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35529680,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35529723,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35529750,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35529763,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35529780,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35531150,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35531151,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35531250,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35531350,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35531351,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35536023,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35536043,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35536063,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35536073,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35536090,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35536150,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35536240,0.30555,0.46,,,,,,,
South East Europe,Albania (AMC),35536290,0.30555,0.46,,,,,,,
